# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units
# SITE_NO   USGS site identifier
# SNAME   USGS site name      site
# LATITUDE   Decimal latitude (datum NAD83)
# LONGITUDE   Decimal longitude (datum NAD83)
# NWISDA1   Upstream drainage area   square miles
# STATE   U.S. State
# COUNTY_NAME   U.S. County
# ECO_L3_CODE   Level III Ecoregion Code
# ECO_L3_NAME   Level III Ecoregion name
# ECO_L2_CODE   Level II Ecoregion Code
# ECO_L2_NAME   Level II Ecoregion name
# ECO_L1_NAME   Level I Ecoregion name
# ECO_L1_CODE   Level I Ecoregion Code
# HUC_REGION_NAME   Hydrologic Unit Code Region name
# HUC_SUBREGION_NAME   Hydrologic Unit Code Subregion name
# HUC_BASIN_NAME   Hydrologic Unit Code Basin name
# HUC_SUBBASIN_NAME   Hydrologic Unit Code Subbasin name
# HUC_2   Hydrologic Unit Code Region Code
# HUC_4   Hydrologic Unit Code Subregion Code
# HUC_6   Hydrologic Unit Code Basin Code
# HUC_8   Hydrologic Unit Code Subbasin Code
# PERM   Average soil permeability   inches/hour
# BFI   Average baseflow index   percent
# KFACT   Average K-factor for the uppermost soil horizon   unitless
# RFACT  30 year rainfall and runoff factor  (100's ft-tonf in h-1 ac-1 yr-1) * 10
# PPT30  Mean annual precipitation from 1971-2000   centimeters
"# URBAN  Percentage of urban land (sum of NLCD classes 21, 22, 23, and 24)   percent"
"# FOREST  Percentage of forest land (sum of NLCD classes 41, 42, and 43)   percent"
# AGRIC  Percentage of agricultural land (sum of NLCD classes 81 and 82)   percent
"# MAJ_DAMS  Number of dams with >= 50 feet in height or having storage >= 5,000 acre-feet"
# NID_STOR   Dam storage   acre-feet
# CLAY   Average Percentage of soil clay content   percent
# SAND   Average Percentage of soil sand content   percent
# SILT   Average Percentage of soil silt content   percent
# BENCHMARK_SITE   1 indicates site is a part of the hydrologic benchmark network
# nhd.p1   1st percentile of daily flows
# nhd.p5   5th percentile of daily flows
# nhd.p10   10th percentile of daily flows
# nhd.p20   20th percentile of daily flows
# nhd.p25   25th percentile of daily flows
# nhd.p30   30th percentile of daily flows
# nhd.p40   40th percentile of daily flows
# nhd.p50   50th percentile of daily flows
# nhd.p60   60th percentile of daily flows
# nhd.p70   70th percentile of daily flows
# nhd.p75   75th percentile of daily flows
# nhd.p80   80th percentile of daily flows
# nhd.p90   90th percentile of daily flows
# nhd.p95   95th percentile of daily flows
# nhd.p99   99th percentile of daily flows
# SAMPLE_YEARS   Number of unique years in which daily suspended-sediment concentration or load data were collected (daily_sites data only)      
# SAMPLE_COUNT   Number of discrete suspended-sediment samples collected (discrete_sites data only)
#
#
SITE_NO,SNAME,LATITUDE,LONGITUDE,NWISDA1,STATE,COUNTY_NAME,ECO_L3_CODE,ECO_L3_NAME,ECO_L2_CODE,ECO_L2_NAME,ECO_L1_NAME,ECO_L1_CODE,HUC_REGION_NAME,HUC_SUBREGION_NAME,HUC_BASIN_NAME,HUC_SUBBASIN_NAME,HUC_2,HUC_4,HUC_6,HUC_8,PERM,BFI,KFACT,RFACT,PPT30,URBAN,FOREST,AGRIC,MAJ_DAMS,NID_STOR,CLAY,SAND,SILT,BENCHMARK_SITE,NHDP1,NHDP5,NHDP10,NHDP20,NHDP25,NHDP30,NHDP40,NHDP50,NHDP60,NHDP70,NHDP75,NHDP80,NHDP90,NHDP95,NHDP99,sample_count
03431517,"CUMMINGS BRANCH AT LICKTON, TN",36.3068964678207,-86.8001927667211,2.4,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Lower Cumberland-Sycamore,05,0513,051302,05130202,2.9828,28.8151,.297,268.698,130.017,3.064150943,82.762264151,.754716981,0,0,29.8885,22.1451,47.9664,0,0,0.02,0.05,0.13,0.18,0.25,0.51,0.97,1.7,2.6,3.2,4,7.73,12,31.23,5
03432100,"HARPETH RIVER AT MCDANIEL, TN",35.8325649451443,-86.6988861380589,66.6,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3035,25.512,.3487,287.76626,140.1032,4.727069633,33.661138154,55.098040289,0,0,37.474,12.9365,49.5895,0,,,,,,,,,,,,,,,,194
03432390,"SPENCER CREEK NEAR FRANKLIN, TN",35.9434521106137,-86.8546674802089,10.3,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.9252,27,.3394,284.23169,138.1477,62.58132352,22.491292633,10.659131235,0,86,34.8147,13.9239,51.2615,0,1.3,1.9,2.5,3.6,4.1,4.8,6.2,8,11,15,17,20,34,57.9,212.9,23
034324715,UNNAMED TRIB TO SYCAMORE CR (FLUME) NR SYCAMORE,35.8175,-87.0061111111111,.02,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.4401,32.1247,.3055,288.90801,140.901,3.792286145,66.365007541,26.976944624,0,0,33.2505,19.4265,47.323,0,,,,,,,,,,,,,,,,136
03432472,"SYCAMORE CREEK AT BURWOOD, TN",35.8147222222222,-86.9844444444444,1.49,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.4401,32.1247,.3055,288.90801,140.901,3.792286145,66.365007541,26.976944624,0,0,33.2505,19.4265,47.323,0,,,,,,,,,,,,,,,,240
03432504,"ROBINSON BRANCH ABOVE BOSTON, TN",35.8141666666667,-87.0191666666667,.57,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.8383,32.9437,.2943,289.41299,141.202,1.504890895,86.80712315,2.081765739,0,0,31.1383,21.8696,46.9921,0,,,,,,,,,,,,,,,,236
034325065,"ROBINSON BRANCH AT BOSTON THETA ROAD, TN",35.8247222222222,-87.0216666666667,1.42,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.8383,32.9437,.2943,289.41299,141.202,1.504890895,86.80712315,2.081765739,0,0,31.1383,21.8696,46.9921,0,,,,,,,,,,,,,,,,260
03432516,"LEIPERS FORK AT BOSTON, TN",35.8444444444444,-87.0327777777778,5.3,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.9405,32.2853,.292,288.85077,140.1848,2.183406114,77.874818049,15.720524017,0,136,30.454,22.4728,47.0732,0,,,,,,,,,,,,,,,,306
03432521,UNNAMED TRIB AT BRIDGE 4 ABUTMENT 1 NR S GARRISON,35.8517777777778,-87.0715,.1,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.6084,33,.308,288.828,140.21,2.344877345,91.558441558,2.597402597,0,0,31.7752,19.958,48.2669,0,,,,,,,,,,,,,,,,19
03432522,"SOUTH GARRISON BRANCH NEAR HOLTS CHAPEL, TN",35.8538888888889,-87.0675,.51,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.6084,33,.308,288.828,140.21,2.344877345,91.558441558,2.597402597,0,0,31.7752,19.958,48.2669,0,,,,,,,,,,,,,,,,234
03432523,"SOUTH GARRISON BRANCH ABOVE HOLTS CHAPEL, TN",35.8544444444444,-87.0658333333333,.52,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.6084,33,.308,288.828,140.21,2.344877345,91.558441558,2.597402597,0,0,31.7752,19.958,48.2669,0,,,,,,,,,,,,,,,,4
0343252305,"SOUTH GARRISON BRANCH TRIBUTARY NR HOLTS CHAPEL,TN",35.855,-87.0663888888889,.35,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,2.6084,33,.308,288.828,140.21,2.344877345,91.558441558,2.597402597,0,0,31.7752,19.958,48.2669,0,,,,,,,,,,,,,,,,2
03433040,"LITTLE HARPETH RV AT EDWIN WARNER PK NR BELLEVUE,T",36.0503384088166,-86.9091682359122,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.8757,26.9714,.3342,278.88577,135.9993,42.852048466,37.438100255,16.557928435,0,2289,34.7358,13.3479,51.9163,0,,,,,,,,,,,,,,,,6
03433500,"HARPETH RIVER AT BELLEVUE, TN",36.054563335079,-86.9285102204907,409,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.7182,27.2332,.3435,285.81205,138.7068,16.484856234,39.095325496,39.89982001,0,4026,34.8124,14.0103,51.1772,0,2.6,9.6,17,35,46,61,110,194,312,490,614,779,1380,2290,6812.8,15
03433628,"S HARPETH CR (S2-US1) AT SR840 NR CRAIGFIELD, TN",35.9047222222222,-87.1513888888889,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.2329,.375,286.898,139.197,3.91319815,44.681607969,48.843827819,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,17
03433629,"S HARPETH CR (S2-DS1) AT SR840 NR CRAIGFIELD, TN",35.9052777777778,-87.1508333333333,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.2329,.375,286.898,139.197,3.91319815,44.681607969,48.843827819,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,10
03433630,SOUTH HARPETH CR (S2-DS2) AT SR840,35.9058333333333,-87.1502777777778,.19,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.2329,.375,286.898,139.197,3.91319815,44.681607969,48.843827819,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,40
03433632,UNNAMED TRIB (S5-US1) TO S HARPETH CR AT SR 840,35.895,-87.1341666666667,.31,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,156
03433633,UNNAMED TRIB (S5-DS1) TO S HARPETH CR AT SR 840,35.8972222222222,-87.1327777777778,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,81
03433634,UNNAMED TRIB (S4-DS1) TO S HARPETH CR AT SR 840,35.9005555555556,-87.1411111111111,.29,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,129
03433635,UNNAMED TRIB (S4-DS2) TO S HARPETH CR NR CRAIGFIEL,35.9005555555556,-87.1408333333333,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.214,33.0013,.375,287.103,139.424,3.849259758,44.145356662,49.232839838,0,0,37.3225,9.3987,53.2788,0,,,,,,,,,,,,,,,,8
03433637,SOUTH HARPETH CREEK NEAR PEWITT CHAPEL,35.9117313520555,-87.1308400357687,2.32,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.2866,33.0644,.3715,286.97359,139.2042,3.051277052,57.262624293,33.066874634,0,0,37.0337,9.9485,53.0178,0,0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.2,0,0,415
034336392,SLICK ROCK HOLLOW CREEK NEAR PEWITT CHAPEL,35.9038888888889,-87.095,.36,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.4209,33,.3651,287.55117,139.4004,1.484061483,82.168546983,14.197016734,0,0,36.4993,10.9658,52.535,0,,,,,,,,,,,,,,,,243
034336394,"SLICK ROCK HOLLOW CREEK NEAR KINGFIELD, TN",35.9051388888889,-87.0970555555556,.36,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.4209,33,.3651,287.55117,139.4004,1.484061483,82.168546983,14.197016734,0,0,36.4993,10.9658,52.535,0,,,,,,,,,,,,,,,,28
03433640,"COPPERAS BRANCH NEAR KINGFIELD, TN",35.9053425994913,-87.0988948390778,1.62,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.4183,33,.3652,287.25424,139.3431,2.819514005,66.481172324,28.844370247,0,0,36.5096,10.946,52.5444,0,0.972,1,1.1,1.2,1.3,1.4,1.7,1.8,2.1,2.49,2.8,3.06,4.03,6.345,13.49,495
03433641,"KELLEY CREEK NEAR KINGFIELD, TN",35.9053425987954,-87.0977837014416,2.18,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.4209,33,.3651,287.55117,139.4004,1.484061483,82.168546983,14.197016734,0,0,36.4993,10.9658,52.535,0,,,,,,,,,,,,,,,,488
034336436,UNNAMED TRIB (S13-16) TO KELLEY CREEK NR SR 840,35.8882319082952,-87.1020616099772,.2,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3982,33,.3661,288.10701,139.571,.464100464,93.338793339,2.811902812,0,0,36.5897,10.7937,52.6167,0,,,,,,,,,,,,,,,,121
034336437,UNNAMED TRIB (S13-US1) TO KELLEY CR NR BENDING CHE,35.8827777777778,-87.1041666666667,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3982,33,.3661,288.10701,139.571,.464100464,93.338793339,2.811902812,0,0,36.5897,10.7937,52.6167,0,,,,,,,,,,,,,,,,19
034336438,UNNAMED TRIB (S12A-US1) TO WHITE OAK BR NR BENDING,35.885,-87.1083333333333,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3312,33,.3694,288.001,139.476,.053590568,90.836012862,6.91318328,0,0,36.8563,10.2862,52.8575,0,,,,,,,,,,,,,,,,8
034336439,"WHITE OAK BR (S9-DS2) NR BENDING CHESTNUT, TN",35.8863888888889,-87.1083333333333,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3312,33,.3694,288.001,139.476,.053590568,90.836012862,6.91318328,0,0,36.8563,10.2862,52.8575,0,,,,,,,,,,,,,,,,17
034336440,"WHITE OAK BR (S9-DS1) NR BENDING CHESTNUT, TN",35.8863888888889,-87.1080555555556,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3312,33,.3694,288.001,139.476,.053590568,90.836012862,6.91318328,0,0,36.8563,10.2862,52.8575,0,,,,,,,,,,,,,,,,27
034336441,UNNAMED TRIB (S12A-DS1) TO WHITE OAK BR NR BENDING,35.8861111111111,-87.1075,,Tennessee,,8.3.3,Interior Plateau,8.3,SOUTHEASTERN USA PLAINS,EASTERN TEMPERATE FORESTS,8,Ohio Region,Cumberland,Lower Cumberland,Harpeth,05,0513,051302,05130204,1.3312,33,.3694,288.001,139.476,.053590568,90.836012862,6.91318328,0,0,36.8563,10.2862,52.8575,0,,,,,,,,,,,,,,,,16
